Titlu	Autor	communal_coef	aesthetic_coef	dark_coef	thrilling_coef	cerebral_coef	Link	Description
ABC-ul psihopatului de succes	Kevin Dutton, Andy McNab	1	1	3	3	10	https://www.goodreads.com/book/show/30453410-abc-ul-psihopatului-de-succes?from_search=true&from_srp=true&qid=6pbNQBKvxb&rank=2	După ce a publicat bestseller-ul "Intelepciunea psihopatilor", Editura Globo oferă cititorului pasionat de expediţii prin labirinturile psihicului uman o nouă carte de referinţă, scrisă de acelaşi autor: "ABC-ul psihopatului de succes". Doctorul Kevin Dutton este cercetător la Departamentul de Psihologie Experimentală - Universitatea Oxford. De data aceasta, îşi propune să ne convingă că în fiecare dintre noi zace un psihopat. Totul e să-I descoperim, să ni-I asumăm, înţelegem şi, în ultimă instanţă, sa-l folosim in dobandirea succesului. Cel care consolidează argumentele psihologului Kevin Dutton este un personaj descins parcă dintr-un thriller: Andy MCNab , fost luptător în SAS 22, decorat cu cele mai înalte distincţii militare ale Armatei Britanice. Personalitatea omului este asemănată cu un panou de mixaj sonor, cu butoane pentru fiecare dintre trăsăturile: lipsa de scrupule, lipsa fricii, impulsivitatea, încrederea în sine, concentrarea, calmul în situaţii dificile, empatia diminuată, intransigenţa mentală, carisma. Felul în care le calibrezi şi momentul în care o faci determină devenirea ta ca psihopat bun sau rău.
Cel mai bogat om din Babilon	George S. Clason	1	3	1	2	10	https://www.goodreads.com/book/show/15821539-cel-mai-bogat-om-din-babilon?ac=1&from_search=true&qid=uKlQVzLy4U&rank=1	Milioane de cititori au ajuns sa cunoasca celebrele „parabole babiloniene“ ale lui George S. Clason. Considerate a fi adevarate surse de inspiratie, ce trateaza atatea subiecte dureros de actuale precum planificarea si obtinerea succesului financiar, asigurarea unui venit solid pentru viitor, dar si principii financiare extrem de solide, desi vechi de mii de ani, aceste povestiri fascinante, bogate in sfaturi si informatii extrem de utile, au devenit un model demn de urmat pentru toti autorii lumii moderne ce hotarasc sa scrie despre toate aceste teme.
De la idee la bani	Napoleon Hill	2	2	1	1	10	https://www.goodreads.com/book/show/34840476-de-la-idee-la-bani?ac=1&from_search=true&qid=aq8YMDJYL3&rank=1	Scrisa sub inboldul lui Andrew Carnegie, tradusa in nenumarate limbi si vanduta in peste 60 de milioane de exemplare, De la idee la bani a devenit , cu timpul, o lucrare de capatai a literaturii motivationale.
Arta subtilă a nepăsării	Mark Manson	4	4	1	1	10	https://www.goodreads.com/book/show/37551250-arta-subtil-a-nep-s-rii-o-metod-nonconformist-pentru-o-via-mai-bun?from_search=true&from_srp=true&qid=KTdCCatm73&rank=1	În acest ghid revoluționar, definitoriu pentru o întreagă generație, autorul ne învață că, pentru a fi fericiți, trebuie să renunțăm la a fi „pozitivi" mereu și trebuie, în schimb, să ne perfecționăm în învingerea obstacolelor. Susținându-și afirmațiile cu cercetări academice și anecdote bine plasate, Manson argumentează că pentru a avea o viață mai bună trebuie să știm nu cum să transformăm lămâile în limonadă, ci cum să le tolerăm mai bine. El ne sfătuiește să ne cunoaștem limitele și să le acceptăm. Aceasta este adevărata sursă a puterii. După ce ne-am acceptat temerile, greșelile și incertitudinile, după ce încetăm să evităm adevărurile dureroase și începem să le înfruntăm, putem găsi curajul și încrederea pe care le căutăm cu disperare. Adoptând pentru acest manifest un ton sincer și un limbaj direct, fără compromisuri, Manson încearcă să ne trezească la realitate pentru a putea duce o viață mai plină de satisfacții și mai ancorată în concret. "Unii spun că sunt un idiot. Alții zic că le-am salvat viața. Citiți și decideți singuri!" — Mark Manson
Cursa de şoareci	Agatha Christie	1	1	6	10	4	https://www.goodreads.com/book/show/25996126-cursa-de-oareci?ac=1&from_search=true&qid=EMWpg0ciwL&rank=1	Un grup de străini este blocat într-o pensiune în timpul unei furtuni de zăpadă, dintre care unul este un criminal. Printre suspecți se numără cuplul proaspăt căsătorit care conduce casa, o fată bătrână cu un trecut curios, un arhitect care pare mai potrivit pentru a fi bucătar, un maior de armată retras, un omuleţ ciudat care pretinde că mașina sa s-a răsturnat din cauza vremii și un jurist care face viața mizerabilă pentru toată lumea. Lor li se alătură un polițist, care soseşte pe schiuri.
12 Rules for Life: An Antidote to Chaos	Jordan Peterson	1	1	1	1	10	https://www.goodreads.com/book/show/30257963-12-rules-for-life?from_search=true&from_srp=true&qid=sBafggBQ3v&rank=1	What does everyone in the modern world need to know? Renowned psychologist Jordan B. Peterson's answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research. Humorous, surprising, and informative, Dr. Peterson tells us why skateboarding boys and girls must be left alone, what terrible fate awaits those who criticize too easily, and why you should always pet a cat when you meet one on the street. What does the nervous system of the lowly lobster have to tell us about standing up straight (with our shoulders back) and about success in life? Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods? What dreadful paths do people tread when they become resentful, arrogant, and vengeful? Dr. Peterson journeys broadly, discussing discipline, freedom, adventure, and responsibility, distilling the world's wisdom into 12 practical and profound rules for life. 12 Rules for Life shatters the modern commonplaces of science, faith, and human nature while transforming and ennobling the mind and spirit of its listeners.
Fundația	Isaac Asimov	3	3	2	7	2	https://www.goodreads.com/book/show/18910100-funda-ia?from_search=true&from_srp=true&qid=C2nTvdwnTp&rank=2	Hari Seldon, întemeietorul psihoistoriei, prezice prăbuşirea Imperiului Galactic şi instaurarea unei ere de barbarie care va dura treizeci de milenii. Cu ajutorul colaboratorilor săi, Seldon înfiinţează Fundaţia Enciclopediei Galactice, a cărei misiune este să salveze cunoştinţele a 12 000 de ani de evoluţie. Fundaţia este exilată pe Terminus, o planetă de la marginea Galaxiei, de unde se implică mersul istoriei, transformând ştiinţa în religie, iar savanţii în preoţi care s-o răspândească în lumile Imperiului.
Culoarea Magiei	Terry Pratchett	7	4	2	7	1	https://www.goodreads.com/book/show/16110209-culoarea-magiei?ac=1&from_search=true&qid=9OMaxp5KEC&rank=1	Lumea plata, al carei soare este un modest satelit si ale carei oceane se revasrsa necontenit peste Margine, este data peste cap de un turist bine intentionat. Un oras este incinerat, un dragon se naste, o divinitate isi gaseste sfarsitul intr-o explozie de lumina, o nava spatiala aproape ca isi rateaza decolarea. In epicentrul catastrofelor - un vrajitor incapabil sa se bucure de Culoarea Magiei...
Pacienta tăcută	Alex Michaelides	1	2	6	10	3	https://www.goodreads.com/book/show/45152448-pacienta-t-cut?from_search=true&from_srp=true&qid=dyOFO8o6Kx&rank=1	Viața Aliciei Berenson este aparent perfectă. Pictoriță renumită căsătorită cu un fotograf de modă, ea trăiește într-o casă superbă, cu vedere spre parc, într-una dintre zonele cele mai dorite din Londra. Într-o seară, soțul ei Gabriel se întoarce acasă târziu de la o ședință foto, iar Alicia îl împușcă de cinci ori în față și apoi rămâne tăcută mai mulți ani. Refuzul Aliciei de a vorbi sau de a da orice fel de explicații transformă o tragedie domestică în ceva mult mai teribil, un mister care captează imaginația publică și o face pe Alicia celebră. Prețul tablourilor sale crește astronomic, iar ea, pacienta tăcută, este ascunsă de tabloide și de lumina reflectoarelor la The Grove, un spital psihiatric de maximă securitate din nordul Londrei. Theo Faber este un psihoterapeut care a așteptat multă vreme oportunitatea de a lucra cu Alicia. Hotărârea lui de a o face să vorbească și să dezvăluie misterul motivului pentru care și-a împușcat soțul îl poartă pe un drum plin de primejdii – o căutare a adevărului care amenință să-l distrugă... Pacienta tăcută este un thriller psihologic șocant despre un act de violență extrem al unei femei împotriva soţului ei – și despre un terapeut obsedat de descoperirea motivului din spatele acestui act... 
Papillon	Henri Charrière	4	1	5	10	1	https://www.goodreads.com/book/show/6882.Papillon?ac=1&from_search=true&qid=iAcprw1QNP&rank=1	Henri Charrière, called "Papillon," for the butterfly tattoo on his chest, was convicted in Paris in 1931 of a murder he did not commit. Sentenced to life imprisonment in the penal colony of French Guiana, he became obsessed with one goal: escape. After planning and executing a series of treacherous yet failed attempts over many years, he was eventually sent to the notorious prison, Devil's Island, a place from which no one had ever escaped . . . until Papillon. His flight to freedom remains one of the most incredible feats of human cunning, will, and endurance ever undertaken.
Inteligența emoțională	Daniel Goleman	4	3	1	1	10	https://www.goodreads.com/book/show/41125209-inteligen-a-emo-ional?from_search=true&from_srp=true&qid=MZ05JOAfjy&rank=1	Cartea lui Daniel Goleman a marcat o revoluţie uluitoare în psihologie prin analiza importanţei covârşitoare a emoţiilor în dezvoltarea personalităţii umane. Studiul său ne explică cum, atunci când ne înţelegem sentimentele, situaţia în care ne aflăm devine mai limpede. Descoperim chiar un nou mod de a privi cauzele bolilor care ne macină familia şi societatea. Preluând rezultatele cercetărilor contemporane asupra creierului şi comportamentului, autorul propune extinderea conceptului de inteligenţă. Este binecunoscut termenul de IQ - coeficientul care măsoară inteligenţa umană înnăscută şi care nu prea poate fi ameliorat pe parcursul vieţii. Dar autorul a deschis calea unei psihologii care acordă un interes egal şi inteligenţei sentimentelor. Inteligenţa emoţională (EQ) presupune în primul rând conştientizare de sine, autodisciplină şi empatie. Ea dă seama de felul în care ne controlăm impulsurile şi sentimentele. Deşi copilăria este extrem de importantă în punerea unor baze solide pentru dezvoltarea inteligenţei emoţionale, ea poate fi îmbunătăţită şi cultivată inclusiv la vârsta adultă.
Psihologie generală	Andrei Cosmovici	3	2	1	1	10	https://www.goodreads.com/book/show/12609377-psihologie-generala?from_search=true&from_srp=true&qid=voBWONdnpM&rank=4	Pregatirea psihologica in invatamintul universitar incepe cu un curs de Psihologie generala (uneori intitulat Introducere in psihologie), constituind baza oricarei initieri in acest domeniu. La noi in tara au fost rareori editate asemenea cursuri, iar cele aparute inainte de 1990 sint influentate de marxism. De aceea, profesorul Andrei Cosmovici si-a conceput cursul ca o sinteza a cercetarilor din ultimii ani, oferind totodata datele fundamentale, formularea principalelor legi ale acestei stiinte.
